,C,Si,Mn,P,S,Ni,Cr,Mo,Ti,V,Cu,W,Sn,Al
Ch1,3.6,2.4,0.4,<0.03,<0.02,0,0,0,0,0,0,0,0,0
Ch2,3.6,2.4,0.5,0.08,<0.02,0,0.08,0,0,0,0.15,0,0,0
Ch3,3.6,2.4,0.4,<0.03,<0.02,0,0.04,0,0,0,0.08,0,0,0
Ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
