Group,Si,Mn,P,S,Cr,Ti,V,Cu,Mg,Ni,Mo,Sb,W,Co,Al,Zn,Sn
14,3.5,1.4,0.25,0.09,0.18,0.18,0.6,2,0.08,4.5,1,,,,,0.25,
10,3.5,1.4,0.25,0.09,0.18,0.18,,2,0.08,4.5,1,0.12,,,,,0.2
11,3.5,1.4,0.25,0.09,0.18,0.18,0.6,2,0.08,4.5,1,0.12,,,,0.25,
